iso,latitude,longitude,name,language,dog,loan,Cognacy,Glottocode,Author,url
ahb,-16.5214,167.6548,Axamb,Axamb,lipax,FALSE,29,axam1237,Tryon (1976),https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=1176
akr,-15.6339,166.9534,Araki,Araki (Southwest Santo),viri,FALSE,"7, 75, 80",arak1252,Francois (2002),https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=465
alm,-15.5437,166.9702,Varavara,Amblong,Î²iriu,FALSE,"7, 75, 77, 80",ambl1237,Tryon (1976),https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=1042
aor,-15.5873,167.1831,Aore,Aore,Î²iriu,FALSE,"7, 75, 77, 80",aore1237,Tryon (1976),https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=1068
app,-15.6773,168.1732,Apma,Apma (Suru Mwerani),kuli,TRUE,7,apma1240,Andrew Gray,https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=641
aul,-16.3439,167.6926,Aulua,Aulua,na-kulih,TRUE,7,aulu1238,Tryon (1976),https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=1093
bki,-16.7059,168.1718,Baki,Baki,kuli,TRUE,7,baki1244,Tryon (1976),https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=1033
bnk,-16.6612,168.176,Bierebo,Bierebo (Yevali),kuli,TRUE,7,bier1244,Tryon (1976),https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=1007
bnr,-15.3292,167.0718,Butmas-Tur,Butmas-Tur (Butmas),pes,FALSE,72,butm1237,Tryon (1976),https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=1100
bpa,-16.2977,167.9974,Daakaka,"Daa kaka (West Ambrym, Vanuatu)",kuli,TRUE,7,daka1243,Kilu von Prince,https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=798
brj,-16.7973,168.2384,Bieria,Bieria (Vowa),kuliu,TRUE,"7, 77",bier1246,Tryon (1976),https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=1031
btr,-15.3054,168.1499,Baetora,Baetora (Nasawa),xiriu,FALSE,"7, 77, 80",baet1237,Tryon (1976),https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=1067
crc,-16.2331,167.9659,Raljago,Lonwolwol,sakirkir,FALSE,"7, 80",lonw1238,Tryon (1976),https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=1026
dix,-16.3478,167.4165,Dixon Reef,Dixon Reef,na-purman,FALSE,"10, 83",dixo1238,Tryon (1976),https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=1025
erg,-18.9102,169.2059,Sie,Sye (Erromangan),nalinoh,FALSE,28,siee1239,"Crowley, Terry. 2000. An Erromangan (Sye) dictiona",https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=463
erk,-17.7006,168.377,South Efate,South Efate,kori,FALSE,7,sout2856,Nick Thieberger,https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=322
etn,-17.7435,168.5605,Eton,Eton,kori,TRUE,7,eton1255,Tryon (1976),https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=1088
frt,-15.4894,166.9688,Fortsenal,Fortsenal,Î²iriu,FALSE,"7, 75, 77, 80",fort1240,Tryon (1976),https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=1167
fut,-19.2567,169.6042,Futuna-Aniwa,Futuna-Aniwa,kuli,FALSE,7,futu1245,"Kenneth Fakamuri, POLLEX 2002 (Bruce Biggs & Ross Clark)",https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=156
hiw,-13.143,166.5651,Hiw,Hiw,tÉ”k,TRUE,73,hiww1237,Dr Alex FranÃ§ois,https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=639
klv,-16.5381,167.8464,Maskelynes,Uliveo (Lurtes) 162-107,lipax,FALSE,29,mask1242,Aviva Shimelman,https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=1412
krf,-14.3575,167.4701,Koro,Koro,notok,TRUE,73,koro1308,Tryon (1976),https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=1032
lht,-13.4203,166.7011,Lo-Toga,Toga,sike,FALSE,,loto1240,Tryon (1976),https://abvd.shh.mpg.de/bantu/austronesian/language.php?id=1153
